author_id,author_name,citing_paper,cited_paper
ZBWTUE_J-AYC,Y Zhu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
AvanGFkAAAAJ,Z Chen,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
No_author_found,H Hu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
No_author_found,Z Chen - Proceedings of the …,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
No_author_found,2025,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,CUSZ-i: High-ratio scientific lossy compression on GPUs with optimized multi-level interpolation
MFWUo10AAAAJ,S Wu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
Op1bp3UAAAAJ,Y Zhai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
v1uvywcAAAAJ,H Dai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
ZBWTUE_J-AYC,Y Zhu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
AvanGFkAAAAJ,Z Chen,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
No_author_found,H Hu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
No_author_found,Z Chen - Proceedings of the …,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
No_author_found,2025,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Anatomy of High-Performance GEMM with Online Fault Tolerance on GPUs
MFWUo10AAAAJ,S Wu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
Op1bp3UAAAAJ,Y Zhai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
v1uvywcAAAAJ,H Dai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
ZBWTUE_J-AYC,Y Zhu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
AvanGFkAAAAJ,Z Chen,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
No_author_found,H Hu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
No_author_found,Z Chen - Proceedings of the …,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
No_author_found,2025,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-Transformer: Resilient and reliable transformer with end-to-end fault tolerant attention
MFWUo10AAAAJ,S Wu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
Op1bp3UAAAAJ,Y Zhai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
v1uvywcAAAAJ,H Dai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
ZBWTUE_J-AYC,Y Zhu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
AvanGFkAAAAJ,Z Chen,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
No_author_found,H Hu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
No_author_found,Z Chen - Proceedings of the …,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
No_author_found,2025,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Cliz: Optimizing lossy compression for climate datasets with adaptive fine-tuned data prediction
MFWUo10AAAAJ,S Wu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,A curriculum learning approach to optimization with application to downlink beamforming
Op1bp3UAAAAJ,Y Zhai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,A curriculum learning approach to optimization with application to downlink beamforming
v1uvywcAAAAJ,H Dai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,A curriculum learning approach to optimization with application to downlink beamforming
ZBWTUE_J-AYC,Y Zhu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,A curriculum learning approach to optimization with application to downlink beamforming
AvanGFkAAAAJ,Z Chen,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,A curriculum learning approach to optimization with application to downlink beamforming
No_author_found,H Hu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,A curriculum learning approach to optimization with application to downlink beamforming
No_author_found,Z Chen - Proceedings of the …,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,A curriculum learning approach to optimization with application to downlink beamforming
No_author_found,2025,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,A curriculum learning approach to optimization with application to downlink beamforming
MFWUo10AAAAJ,S Wu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Exploring wavelet transform usages for error-bounded scientific data compression
Op1bp3UAAAAJ,Y Zhai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Exploring wavelet transform usages for error-bounded scientific data compression
v1uvywcAAAAJ,H Dai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Exploring wavelet transform usages for error-bounded scientific data compression
ZBWTUE_J-AYC,Y Zhu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Exploring wavelet transform usages for error-bounded scientific data compression
AvanGFkAAAAJ,Z Chen,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Exploring wavelet transform usages for error-bounded scientific data compression
No_author_found,H Hu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Exploring wavelet transform usages for error-bounded scientific data compression
No_author_found,Z Chen - Proceedings of the …,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Exploring wavelet transform usages for error-bounded scientific data compression
No_author_found,2025,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Exploring wavelet transform usages for error-bounded scientific data compression
MFWUo10AAAAJ,S Wu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
Op1bp3UAAAAJ,Y Zhai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
v1uvywcAAAAJ,H Dai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
ZBWTUE_J-AYC,Y Zhu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
AvanGFkAAAAJ,Z Chen,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
No_author_found,H Hu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
No_author_found,Z Chen - Proceedings of the …,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
No_author_found,2025,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT-GEMM: A Fault Tolerant High Performance GEMM Implementation on x86 CPUs
MFWUo10AAAAJ,S Wu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus
Op1bp3UAAAAJ,Y Zhai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus
v1uvywcAAAAJ,H Dai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus
ZBWTUE_J-AYC,Y Zhu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus
AvanGFkAAAAJ,Z Chen,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus
No_author_found,H Hu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus
No_author_found,Z Chen - Proceedings of the …,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus
No_author_found,2025,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Turbofft: Co-designed high-performance and fault-tolerant fast fourier transform on gpus
MFWUo10AAAAJ,S Wu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
Op1bp3UAAAAJ,Y Zhai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
v1uvywcAAAAJ,H Dai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
ZBWTUE_J-AYC,Y Zhu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
AvanGFkAAAAJ,Z Chen,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
No_author_found,H Hu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
No_author_found,Z Chen - Proceedings of the …,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
No_author_found,2025,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,FT K-means: A High-Performance K-means on GPU with Fault Tolerance
MFWUo10AAAAJ,S Wu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
Op1bp3UAAAAJ,Y Zhai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
v1uvywcAAAAJ,H Dai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
ZBWTUE_J-AYC,Y Zhu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
AvanGFkAAAAJ,Z Chen,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
No_author_found,H Hu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
No_author_found,Z Chen - Proceedings of the …,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
No_author_found,2025,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Stationary Deep Reinforcement Learning with Quantum K-Spin Hamiltonian Regularization
MFWUo10AAAAJ,S Wu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration
Op1bp3UAAAAJ,Y Zhai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration
v1uvywcAAAAJ,H Dai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration
ZBWTUE_J-AYC,Y Zhu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration
AvanGFkAAAAJ,Z Chen,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration
No_author_found,H Hu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration
No_author_found,Z Chen - Proceedings of the …,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration
No_author_found,2025,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Boosting scientific error-bounded lossy compression through optimized synergistic lossy-lossless orchestration
MFWUo10AAAAJ,S Wu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
Op1bp3UAAAAJ,Y Zhai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
v1uvywcAAAAJ,H Dai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
ZBWTUE_J-AYC,Y Zhu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
AvanGFkAAAAJ,Z Chen,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
No_author_found,H Hu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
No_author_found,Z Chen - Proceedings of the …,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
No_author_found,2025,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Dgro: diameter-guided ring optimization for integrated research infrastructure membership
MFWUo10AAAAJ,S Wu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Downlink beamforming optimization via deep learning
Op1bp3UAAAAJ,Y Zhai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Downlink beamforming optimization via deep learning
v1uvywcAAAAJ,H Dai,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Downlink beamforming optimization via deep learning
ZBWTUE_J-AYC,Y Zhu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Downlink beamforming optimization via deep learning
AvanGFkAAAAJ,Z Chen,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Downlink beamforming optimization via deep learning
No_author_found,H Hu,Turbofno: High-performance fourier neural operator with fused fft-gemm-ifft on gpu,Downlink beamforming optimization via deep learning
z5u02kIAAAAJ,F Cappello,Lossy Compression of Scientific Data: Applications Constrains and Requirements,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
wdM8xCYAAAAJ,A Baker,Lossy Compression of Scientific Data: Applications Constrains and Requirements,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
0-AkVWwAAAAJ,M Burtscher,Lossy Compression of Scientific Data: Applications Constrains and Requirements,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
No_author_found,E Bozda,Lossy Compression of Scientific Data: Applications Constrains and Requirements,High-performance effective scientific error-bounded lossy compression with auto-tuned multi-component interpolation
